winner,bot_player,bot_wins,moves,max_depth,avg_minimax_time,game_number
Draw,1,False,16,15,6.586313247680664e-05,1
Draw,0,False,16,16,4.920363426208496e-05,2
Draw,1,False,16,15,4.842877388000488e-05,3
Draw,1,False,16,15,5.793571472167969e-05,4
Draw,1,False,16,15,5.4895877838134766e-05,5
Draw,1,False,16,15,6.55055046081543e-05,6
Draw,1,False,16,15,4.929304122924805e-05,7
Draw,1,False,16,15,3.2573938369750977e-05,8
Draw,1,False,16,15,5.379319190979004e-05,9
Draw,1,False,16,15,4.744529724121094e-05,10
1,1,True,16,15,7.516145706176758e-05,11
Draw,0,False,16,16,7.304549217224121e-05,12
Draw,0,False,16,16,5.78463077545166e-05,13
1,1,True,16,15,7.733702659606934e-05,14
Draw,1,False,16,15,6.440281867980957e-05,15
Draw,0,False,16,16,4.616379737854004e-05,16
1,1,True,16,15,5.245208740234375e-05,17
0,0,True,11,16,8.749961853027344e-05,18
1,1,True,16,15,7.385015487670898e-05,19
0,0,True,13,16,5.146435328892299e-05,20
Draw,0,False,16,16,6.344914436340332e-05,21
Draw,0,False,16,16,6.878376007080078e-05,22
0,0,True,15,16,6.201863288879395e-05,23
Draw,1,False,16,15,6.148219108581543e-05,24
Draw,1,False,16,15,5.7220458984375e-05,25
Draw,0,False,16,16,6.556510925292969e-05,26
1,1,True,16,15,5.322694778442383e-05,27
Draw,0,False,16,16,5.817413330078125e-05,28
Draw,0,False,16,16,5.4210424423217773e-05,29
1,1,True,16,15,5.537271499633789e-05,30
Draw,1,False,16,15,6.458163261413574e-05,31
Draw,1,False,16,15,4.673004150390625e-05,32
Draw,0,False,16,16,5.0634145736694336e-05,33
Draw,1,False,16,15,4.303455352783203e-05,34
Draw,1,False,16,15,3.3289194107055664e-05,35
Draw,1,False,16,15,3.24249267578125e-05,36
0,0,True,11,16,3.429253896077474e-05,37
Draw,0,False,16,16,4.869699478149414e-05,38
Draw,0,False,16,16,5.263090133666992e-05,39
Draw,0,False,16,16,5.128979682922363e-05,40
0,0,True,15,16,0.00010126829147338867,41
1,1,True,16,15,6.29127025604248e-05,42
1,1,True,12,15,7.45852788289388e-05,43
0,0,True,11,16,5.4995218912760414e-05,44
Draw,0,False,16,16,5.009770393371582e-05,45
0,0,True,15,16,5.40316104888916e-05,46
1,1,True,16,15,8.291006088256836e-05,47
Draw,1,False,16,15,6.774067878723145e-05,48
Draw,0,False,16,16,6.660819053649902e-05,49
Draw,1,False,16,15,6.92605972290039e-05,50
