winner,bot_player,bot_wins,moves,max_depth,avg_minimax_time,game_number
Draw,0,False,16,16,5.8710575103759766e-06,1
0,0,True,15,16,6.258487701416016e-06,2
Draw,0,False,16,16,9.298324584960938e-06,3
0,0,True,7,16,5.841255187988281e-06,4
1,1,True,16,15,5.334615707397461e-06,5
0,0,True,15,16,7.599592208862305e-06,6
1,1,True,16,15,8.493661880493164e-06,7
0,0,True,15,16,6.973743438720703e-06,8
Draw,0,False,16,16,4.4405460357666016e-06,9
1,1,True,16,15,5.334615707397461e-06,10
1,1,True,8,15,5.245208740234375e-06,11
1,1,True,16,15,4.827976226806641e-06,12
1,1,True,14,15,4.870550973074776e-06,13
1,1,True,14,15,4.666192190987724e-06,14
1,1,True,16,15,6.8247318267822266e-06,15
Draw,1,False,16,15,5.900859832763672e-06,16
1,1,True,16,15,4.9173831939697266e-06,17
1,1,True,8,15,5.4836273193359375e-06,18
0,0,True,15,16,6.616115570068359e-06,19
1,1,True,16,15,5.0961971282958984e-06,20
0,0,True,13,16,6.164823259626116e-06,21
1,1,True,16,15,4.827976226806641e-06,22
1,1,True,16,15,5.7220458984375e-06,23
Draw,0,False,16,16,7.0035457611083984e-06,24
1,1,True,16,15,4.589557647705078e-06,25
1,1,True,16,15,4.6193599700927734e-06,26
0,0,True,15,16,4.678964614868164e-06,27
1,1,True,16,15,7.957220077514648e-06,28
1,1,True,14,15,5.347388131277901e-06,29
Draw,1,False,16,15,4.827976226806641e-06,30
1,1,True,12,15,5.1657358805338544e-06,31
0,0,True,15,16,5.334615707397461e-06,32
0,0,True,13,16,7.493155343191964e-06,33
Draw,1,False,16,15,4.5299530029296875e-06,34
0,0,True,7,16,4.76837158203125e-06,35
0,0,True,15,16,5.4836273193359375e-06,36
Draw,0,False,16,16,4.4405460357666016e-06,37
0,0,True,13,16,7.016318184988839e-06,38
1,1,True,16,15,5.0961971282958984e-06,39
1,1,True,16,15,5.662441253662109e-06,40
0,0,True,7,16,6.4373016357421875e-06,41
1,1,True,8,15,5.066394805908203e-06,42
Draw,0,False,16,16,4.649162292480469e-06,43
0,0,True,7,16,4.649162292480469e-06,44
1,1,True,14,15,4.972730364118304e-06,45
1,1,True,8,15,4.589557647705078e-06,46
Draw,1,False,16,15,4.589557647705078e-06,47
Draw,0,False,16,16,6.22868537902832e-06,48
0,0,True,15,16,4.112720489501953e-06,49
1,1,True,16,15,4.678964614868164e-06,50
0,0,True,7,16,4.112720489501953e-06,51
0,0,True,7,16,4.231929779052734e-06,52
0,0,True,7,16,4.0531158447265625e-06,53
Draw,0,False,16,16,5.4836273193359375e-06,54
1,1,True,16,15,5.513429641723633e-06,55
0,0,True,7,16,4.0531158447265625e-06,56
1,1,True,16,15,5.990266799926758e-06,57
0,0,True,7,16,3.993511199951172e-06,58
1,1,True,12,15,5.404154459635417e-06,59
Draw,1,False,16,15,4.708766937255859e-06,60
Draw,0,False,16,16,5.513429641723633e-06,61
0,0,True,15,16,6.794929504394531e-06,62
Draw,0,False,16,16,5.21540641784668e-06,63
1,1,True,16,15,6.258487701416016e-06,64
1,1,True,16,15,4.0531158447265625e-06,65
1,1,True,12,15,5.6425730387369794e-06,66
1,1,True,16,15,5.036592483520508e-06,67
0,0,True,13,16,5.653926304408482e-06,68
1,1,True,16,15,4.976987838745117e-06,69
0,0,True,7,16,4.0531158447265625e-06,70
0,0,True,15,16,5.5730342864990234e-06,71
1,1,True,16,15,6.4373016357421875e-06,72
0,0,True,15,16,5.21540641784668e-06,73
1,1,True,10,15,4.9591064453125e-06,74
0,0,True,7,16,4.291534423828125e-06,75
1,1,True,16,15,4.947185516357422e-06,76
1,1,True,16,15,4.947185516357422e-06,77
Draw,0,False,16,16,4.1425228118896484e-06,78
1,1,True,16,15,5.781650543212891e-06,79
1,1,True,16,15,4.827976226806641e-06,80
1,1,True,12,15,6.039937337239583e-06,81
Draw,0,False,16,16,4.738569259643555e-06,82
1,1,True,16,15,4.649162292480469e-06,83
