winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,heaps,game_number
0,1,False,3,1,0.00010156631469726562,"[3, 1]",1
1,1,True,6,9,0.0005486011505126953,"[2, 3, 5, 2]",2
1,1,True,8,9,0.00038164854049682617,"[2, 5, 5, 3]",3
1,1,True,4,4,0.00010585784912109375,"[3, 3]",4
0,0,True,7,13,0.002547919750213623,"[2, 3, 5, 4]",5
0,0,True,5,5,9.123484293619792e-05,"[3, 3]",6
0,0,True,5,7,0.000265200932820638,"[2, 2, 4]",7
0,1,False,3,1,4.5299530029296875e-05,"[3, 1]",8
0,1,False,3,1,3.695487976074219e-05,"[5, 1]",9
0,0,True,7,7,0.00019222497940063477,"[4, 3, 1]",10
0,0,True,5,10,0.0007106463114420573,"[3, 3, 5]",11
0,0,True,7,9,0.00029397010803222656,"[1, 4, 5]",12
0,0,True,9,13,0.0032516956329345704,"[4, 2, 1, 4, 3]",13
0,1,False,3,1,0.00010204315185546875,"[2, 1]",14
1,1,True,6,5,0.00020774205525716147,"[3, 2, 5]",15
0,1,False,3,1,5.888938903808594e-05,"[3, 1]",16
0,0,True,9,17,0.012632179260253906,"[3, 4, 2, 5, 4]",17
1,1,True,10,10,0.0006578922271728516,"[5, 2, 4, 4]",18
0,0,True,3,5,9.72747802734375e-05,"[5, 1]",19
0,1,False,3,1,6.699562072753906e-05,"[1, 3]",20
1,1,True,6,4,0.00016506512959798178,"[1, 3, 2]",21
1,1,True,12,10,0.0007104873657226562,"[3, 4, 2, 3]",22
0,0,True,5,9,0.00026702880859375,"[5, 5]",23
1,1,True,16,14,0.0014872252941131592,"[4, 2, 5, 5]",24
0,0,True,9,17,0.015182924270629884,"[5, 4, 2, 3, 4]",25
1,1,True,2,1,6.175041198730469e-05,"[2, 2]",26
0,0,True,3,3,6.210803985595703e-05,"[1, 3]",27
0,0,True,7,12,0.0014786720275878906,"[1, 4, 5, 3]",28
1,1,True,12,13,0.00234377384185791,"[5, 3, 1, 4, 3]",29
0,0,True,5,11,0.0016717910766601562,"[2, 4, 4, 2]",30
1,1,True,8,9,0.0007378458976745605,"[1, 5, 5, 1, 1]",31
0,0,True,5,6,0.0001529057820638021,"[4, 3]",32
0,0,True,9,8,0.0004807949066162109,"[3, 2, 2, 2]",33
0,0,True,5,5,0.00010236104329427083,"[2, 4]",34
1,1,True,6,8,0.0006925264994303385,"[3, 3, 2, 1, 1]",35
0,0,True,7,9,0.0009518265724182129,"[2, 1, 3, 1, 3]",36
0,0,True,7,10,0.001017928123474121,"[2, 4, 3, 2]",37
0,0,True,7,13,0.0032699108123779297,"[1, 5, 3, 1, 4]",38
0,0,True,5,6,0.00012683868408203125,"[3, 4]",39
1,1,True,6,10,0.000782012939453125,"[5, 5, 3]",40
0,0,True,3,2,4.875659942626953e-05,"[2, 1]",41
1,1,True,8,14,0.0034009218215942383,"[3, 4, 5, 3, 3]",42
1,1,True,6,7,0.00041357676188151043,"[1, 1, 1, 5, 2]",43
0,0,True,3,3,0.00012981891632080078,"[1, 1, 2]",44
1,1,True,10,13,0.0036739826202392576,"[5, 4, 3, 1, 4]",45
0,0,True,7,8,0.0003960132598876953,"[3, 1, 4, 1]",46
1,0,False,6,5,9.218851725260417e-05,"[3, 3]",47
1,1,True,6,6,0.00015505154927571615,"[4, 5]",48
0,0,True,11,19,0.01768350601196289,"[2, 5, 4, 5, 4]",49
1,1,True,6,9,0.0005395412445068359,"[5, 4, 4]",50
