winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,heaps,game_number
0,1,False,5,3,5.2809715270996094e-05,"[2, 3]",1
0,0,True,7,12,0.0025887489318847656,"[2, 1, 3, 2, 5]",2
0,0,True,5,13,0.003023068110148112,"[3, 3, 3, 5]",3
1,1,True,6,7,0.00028141339619954425,"[1, 4, 4, 1]",4
0,0,True,11,16,0.003274997075398763,"[4, 3, 5, 5]",5
0,0,True,7,11,0.0008817911148071289,"[1, 2, 5, 4]",6
0,0,True,9,11,0.000762033462524414,"[1, 5, 3, 3]",7
0,0,True,7,10,0.0009273886680603027,"[1, 1, 1, 4, 4]",8
1,1,True,6,7,0.00018930435180664062,"[4, 3, 3]",9
0,0,True,3,4,5.2928924560546875e-05,"[1, 4]",10
1,1,True,6,6,0.00015632311503092447,"[2, 3, 3]",11
1,1,True,8,8,0.0003765225410461426,"[2, 2, 4, 2]",12
0,0,True,7,12,0.0023807883262634277,"[5, 2, 2, 1, 3]",13
1,1,True,10,13,0.0033618927001953123,"[2, 2, 4, 2, 5]",14
1,1,True,8,10,0.00044655799865722656,"[4, 2, 5, 4]",15
0,0,True,5,8,0.0002570152282714844,"[4, 1, 4]",16
0,0,True,9,12,0.0019947052001953124,"[4, 2, 1, 2, 4]",17
1,1,True,6,5,9.1552734375e-05,"[3, 5, 1]",18
0,0,True,5,6,0.00020623207092285156,"[1, 2, 3, 1]",19
1,1,True,6,7,0.00021449724833170572,"[4, 3, 2]",20
1,1,True,4,5,9.083747863769531e-05,"[5, 3]",21
1,1,True,4,7,0.00017142295837402344,"[5, 4]",22
0,0,True,5,6,0.00013073285420735678,"[4, 1, 2]",23
1,1,True,8,10,0.0011491179466247559,"[3, 3, 1, 4, 1]",24
1,1,True,12,14,0.0023250182469685874,"[3, 1, 5, 5, 2]",25
1,1,True,8,7,0.00033283233642578125,"[1, 2, 3, 2, 1]",26
0,0,True,7,13,0.0019930005073547363,"[3, 2, 4, 5]",27
0,0,True,3,14,0.002457857131958008,"[5, 5, 5]",28
0,0,True,7,14,0.0026226043701171875,"[5, 5, 3, 2]",29
0,0,True,7,7,0.0002951622009277344,"[1, 4, 1, 2]",30
1,1,True,6,4,5.920728047688802e-05,"[2, 2, 2]",31
0,0,True,7,10,0.0005559325218200684,"[1, 1, 5, 4]",32
1,1,True,4,2,2.110004425048828e-05,"[2, 1, 1]",33
0,0,True,9,16,0.006658601760864258,"[3, 5, 1, 3, 5]",34
1,1,True,10,12,0.001481771469116211,"[4, 1, 3, 3, 3]",35
0,0,True,7,14,0.004690587520599365,"[3, 4, 1, 5, 2]",36
1,1,True,6,5,0.00010283788045247395,"[1, 3, 2, 1]",37
0,0,True,7,13,0.0020551681518554688,"[5, 2, 3, 4]",38
0,0,True,7,19,0.025251567363739014,"[4, 4, 4, 4, 4]",39
0,0,True,13,16,0.005657741001674107,"[2, 3, 3, 5, 4]",40
0,0,True,9,14,0.004100704193115234,"[2, 1, 5, 4, 3]",41
0,0,True,7,8,0.00023674964904785156,"[1, 3, 5]",42
1,0,False,2,1,2.193450927734375e-05,"[1, 1]",43
1,1,True,4,5,0.0001068115234375,"[1, 4, 2]",44
1,1,True,4,2,1.9788742065429688e-05,"[2, 2]",45
0,0,True,3,5,6.330013275146484e-05,"[5, 1]",46
1,1,True,8,10,0.0006935596466064453,"[5, 4, 1, 2]",47
0,0,True,5,9,0.0010662078857421875,"[4, 2, 1, 2, 1]",48
0,0,True,11,14,0.00318300724029541,"[4, 1, 2, 4, 4]",49
0,0,True,5,9,0.0004901885986328125,"[2, 4, 4]",50
1,1,True,6,8,0.00031487147013346356,"[4, 3, 3]",51
0,0,True,7,9,0.0006331205368041992,"[2, 2, 3, 3]",52
1,1,True,12,16,0.005089521408081055,"[2, 5, 4, 2, 5]",53
1,1,True,4,6,0.00014507770538330078,"[1, 3, 5]",54
1,1,True,8,14,0.002647101879119873,"[5, 5, 4, 2]",55
0,0,True,5,10,0.0005822181701660156,"[5, 3, 3]",56
1,1,True,4,4,4.7206878662109375e-05,"[4, 2]",57
0,0,True,7,13,0.002778947353363037,"[3, 1, 4, 5, 1]",58
0,0,True,3,5,8.64267349243164e-05,"[2, 4]",59
0,0,True,3,6,0.00014388561248779297,"[5, 1, 1]",60
1,1,True,2,1,1.5497207641601562e-05,"[2, 5]",61
0,0,True,5,7,0.00030350685119628906,"[3, 3, 1, 1]",62
0,0,True,11,17,0.009196996688842773,"[3, 3, 3, 4, 5]",63
1,1,True,4,3,4.220008850097656e-05,"[1, 2, 2]",64
1,1,True,2,2,2.7894973754882812e-05,"[4, 3]",65
0,0,True,7,15,0.00339353084564209,"[4, 5, 5, 2]",66
0,0,True,7,10,0.0013881325721740723,"[1, 2, 3, 3, 2]",67
0,0,True,3,5,0.00010907649993896484,"[4, 1, 1]",68
0,0,True,5,5,0.00013065338134765625,"[1, 1, 2, 2]",69
0,0,True,13,17,0.007507698876517159,"[3, 5, 4, 2, 4]",70
0,0,True,7,15,0.00707244873046875,"[4, 2, 3, 5, 2]",71
1,1,True,10,13,0.0019619941711425783,"[1, 5, 3, 1, 5]",72
1,1,True,4,4,4.792213439941406e-05,"[4, 4]",73
0,0,True,7,10,0.0012230277061462402,"[1, 3, 4, 1, 2]",74
0,0,True,7,13,0.0020251870155334473,"[4, 3, 5, 2]",75
0,0,True,5,7,0.00016880035400390625,"[2, 1, 5]",76
0,0,True,9,16,0.007976722717285157,"[3, 4, 2, 5, 3]",77
1,1,True,10,13,0.0033130645751953125,"[3, 3, 5, 2, 2]",78
0,0,True,9,13,0.003277301788330078,"[1, 4, 3, 3, 3]",79
0,0,True,11,18,0.009798010190327963,"[1, 3, 5, 5, 5]",80
1,1,True,4,6,0.00019860267639160156,"[4, 5]",81
0,0,True,11,12,0.0011012951532999675,"[3, 2, 5, 3]",82
0,0,True,5,12,0.0011330445607503254,"[4, 4, 5]",83
