start_number,winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,game_number
27,0,0,True,7,27,0.000813901424407959,1
22,1,1,True,10,21,0.00033893585205078123,2
30,1,1,True,8,15,0.00017005205154418945,3
28,0,1,False,7,14,0.0002113183339436849,4
21,1,1,True,10,20,0.0003009796142578125,5
20,0,0,True,5,20,0.00039394696553548175,6
24,1,1,True,6,12,0.00014034907023111978,7
22,1,1,True,10,11,0.00013165473937988282,8
27,0,0,True,13,27,0.0009943417140415736,9
22,1,1,True,8,21,0.0004400014877319336,10
22,1,1,True,6,21,0.000469207763671875,11
21,1,1,True,10,20,0.0003116130828857422,12
20,1,1,True,8,10,0.0001112818717956543,13
15,1,1,True,8,14,0.00025004148483276367,14
30,1,1,True,8,15,0.0003142356872558594,15
27,0,0,True,7,27,0.000784754753112793,16
26,0,0,True,15,26,0.0009624660015106201,17
27,0,0,True,9,27,0.0010568618774414063,18
24,1,1,True,12,23,0.00038683414459228516,19
30,0,0,True,9,30,0.0009346961975097656,20
20,0,1,False,9,10,0.00016564130783081055,21
16,0,1,False,7,8,7.915496826171875e-05,22
23,1,1,True,10,11,0.00012574195861816406,23
29,0,0,True,7,29,0.0009958148002624512,24
27,1,1,True,6,13,0.00014289220174153647,25
20,0,0,True,9,20,0.0002902984619140625,26
19,0,0,True,9,19,0.0003409862518310547,27
20,0,0,True,7,20,0.00036710500717163086,28
15,0,1,False,7,14,0.00020925203959147135,29
26,0,0,True,7,26,0.000704646110534668,30
28,1,1,True,8,14,0.00017052888870239258,31
16,1,1,True,6,8,7.70886739095052e-05,32
21,1,1,True,8,10,9.673833847045898e-05,33
19,1,1,True,6,9,0.00010434786478678386,34
16,1,1,True,8,8,7.402896881103516e-05,35
19,0,0,True,9,19,0.0004131317138671875,36
21,1,1,True,6,10,9.600321451822917e-05,37
16,0,0,True,7,16,0.0002560615539550781,38
16,1,1,True,8,15,0.00023734569549560547,39
20,1,1,True,8,10,0.00012129545211791992,40
18,1,0,False,8,18,0.00027310848236083984,41
30,0,0,True,9,30,0.001581573486328125,42
29,0,0,True,7,29,0.0009753108024597168,43
17,0,0,True,7,17,0.0002351999282836914,44
22,1,1,True,10,11,0.00013561248779296874,45
29,0,1,False,7,14,0.00018580754597981772,46
16,1,1,True,8,15,0.00022238492965698242,47
25,0,0,True,7,25,0.0006618499755859375,48
17,0,0,True,7,17,0.0002733469009399414,49
23,0,0,True,11,23,0.0006794532140096029,50
