start_number,winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,game_number
16,0,0,True,5,16,0.00020519892374674478,1
23,1,1,True,6,11,0.00014599164326985678,2
28,0,0,True,7,28,0.0009595751762390137,3
29,1,1,True,8,28,0.0009398460388183594,4
24,0,0,True,13,24,0.0005511896950857979,5
20,0,0,True,5,20,0.00043352444966634113,6
26,0,0,True,7,26,0.0007383823394775391,7
20,0,0,True,9,20,0.0002830028533935547,8
17,1,1,True,8,8,9.781122207641602e-05,9
19,0,0,True,7,19,0.0004768967628479004,10
20,0,0,True,7,20,0.00037795305252075195,11
21,0,0,True,9,21,0.00033211708068847656,12
26,0,0,True,7,26,0.0006593465805053711,13
30,0,0,True,9,30,0.0009532451629638671,14
16,0,0,True,5,16,0.000261227289835612,15
24,1,1,True,6,12,0.0001579125722249349,16
19,1,1,True,8,9,5.418062210083008e-05,17
18,0,0,True,7,18,0.00039452314376831055,18
20,0,0,True,7,20,0.0003581047058105469,19
30,0,0,True,9,30,0.0009196281433105468,20
30,1,1,True,8,29,0.0009769201278686523,21
30,1,1,True,8,29,0.001001119613647461,22
28,0,0,True,7,28,0.0008962750434875488,23
18,1,1,True,8,17,0.00024825334548950195,24
29,0,0,True,7,29,0.0009742379188537598,25
25,1,1,True,6,12,0.00015131632486979166,26
26,0,0,True,7,26,0.0007011890411376953,27
22,0,0,True,7,22,0.0006569623947143555,28
27,1,1,True,12,26,0.0012478033701578777,29
30,1,1,True,8,15,0.0002537965774536133,30
23,1,1,True,10,11,0.0001346588134765625,31
27,1,1,True,6,13,0.00017944971720377603,32
26,1,1,True,14,25,0.0006469658442905971,33
28,0,0,True,7,28,0.0008600950241088867,34
26,1,1,True,6,13,0.00017730394999186197,35
24,1,1,True,8,23,0.0005018711090087891,36
25,0,0,True,7,25,0.0006315708160400391,37
26,1,1,True,6,13,0.00017340977986653647,38
28,1,1,True,8,27,0.0008282065391540527,39
18,0,0,True,7,18,0.0002657175064086914,40
16,1,1,True,8,15,0.00023621320724487305,41
16,0,0,True,7,16,0.00020319223403930664,42
24,0,0,True,9,24,0.0008425235748291016,43
16,0,1,False,7,8,5.284945170084635e-05,44
26,1,1,True,6,13,0.00010275840759277344,45
18,1,1,True,8,17,0.00018042325973510742,46
17,1,1,True,8,16,0.00015848875045776367,47
21,0,0,True,5,21,0.00040348370869954425,48
22,1,1,True,8,11,8.320808410644531e-05,49
22,1,1,True,6,11,7.573763529459636e-05,50
22,1,1,True,8,11,8.541345596313477e-05,51
20,0,0,True,9,20,0.00024857521057128904,52
29,1,1,True,8,28,0.0007741451263427734,53
28,1,1,True,8,27,0.0007381439208984375,54
30,0,0,True,9,30,0.0008771419525146484,55
30,1,1,True,8,29,0.0009260177612304688,56
16,1,1,True,8,15,0.00018894672393798828,57
23,0,0,True,11,23,0.0003255208333333333,58
29,0,0,True,7,29,0.0008828043937683105,59
28,0,0,True,7,28,0.0007673501968383789,60
28,0,0,True,7,28,0.0007726550102233887,61
28,1,1,True,10,27,0.000988006591796875,62
29,0,0,True,7,29,0.0009261965751647949,63
22,0,0,True,9,22,0.0005151271820068359,64
15,1,1,True,8,14,0.00011098384857177734,65
29,0,0,True,7,29,0.0008841156959533691,66
27,1,1,True,6,13,0.00011221567789713542,67
18,1,1,True,6,9,4.8319498697916664e-05,68
16,0,0,True,7,16,0.00015467405319213867,69
29,1,1,True,8,14,0.00011283159255981445,70
16,1,1,True,8,15,0.0001983046531677246,71
16,1,1,True,8,15,0.00013577938079833984,72
21,1,1,True,8,20,0.0003000497817993164,73
29,0,0,True,7,29,0.0008804798126220703,74
29,1,1,True,8,28,0.0007882118225097656,75
26,1,1,True,6,13,0.00011372566223144531,76
25,1,1,True,14,24,0.0005472046988351005,77
26,1,1,True,10,25,0.00099334716796875,78
17,1,1,True,6,8,4.100799560546875e-05,79
17,1,1,True,8,16,0.00015312433242797852,80
15,0,0,True,7,15,0.00013059377670288086,81
24,1,1,True,8,23,0.0007132291793823242,82
18,0,0,True,9,18,0.0002734661102294922,83
24,0,0,True,7,24,0.0005255937576293945,84
22,0,0,True,11,22,0.0004444519678751628,85
24,1,1,True,10,23,0.0006125926971435547,86
25,0,0,True,9,25,0.0007846355438232422,87
19,1,1,True,8,9,5.21540641784668e-05,88
17,0,1,False,7,8,5.030632019042969e-05,89
18,1,1,True,8,17,0.0001766681671142578,90
17,0,0,True,7,17,0.00018489360809326172,91
26,0,0,True,11,26,0.001111745834350586,92
28,0,0,True,7,28,0.000801384449005127,93
24,0,0,True,9,24,0.0008651256561279297,94
26,1,1,True,12,25,0.0006539424260457357,95
19,1,1,True,8,9,5.0008296966552734e-05,96
21,0,0,True,7,21,0.0003261566162109375,97
20,0,0,True,9,20,0.0002410888671875,98
23,1,1,True,6,11,7.796287536621094e-05,99
20,0,0,True,9,20,0.00024404525756835938,100
21,1,1,True,6,20,0.0003484090169270833,101
29,1,1,True,8,28,0.0007979273796081543,102
23,0,0,True,7,23,0.0004550814628601074,103
16,1,1,True,6,8,3.639856974283854e-05,104
16,0,0,True,7,16,0.00015991926193237305,105
16,0,0,True,7,16,0.00015240907669067383,106
26,0,0,True,7,26,0.0006579160690307617,107
29,0,0,True,7,29,0.000892341136932373,108
21,0,0,True,9,21,0.0002780914306640625,109
29,0,0,True,7,29,0.0008747577667236328,110
29,0,0,True,7,29,0.00091552734375,111
22,0,0,True,7,22,0.00038611888885498047,112
19,0,0,True,9,19,0.00021066665649414063,113
20,0,0,True,9,20,0.0002429962158203125,114
16,0,0,True,7,16,0.00015306472778320312,115
24,1,1,True,8,23,0.00044345855712890625,116
30,1,1,True,8,15,0.00018972158432006836,117
16,0,0,True,5,16,0.00018183390299479166,118
16,0,0,True,5,16,0.00018835067749023438,119
18,0,0,True,7,18,0.00021004676818847656,120
26,0,0,True,7,26,0.0006487369537353516,121
17,0,0,True,7,17,0.00018161535263061523,122
17,0,0,True,7,17,0.0001799464225769043,123
25,1,1,True,6,12,9.23474629720052e-05,124
22,1,1,True,6,11,7.764498392740886e-05,125
30,1,1,True,8,29,0.0009423494338989258,126
17,0,0,True,5,17,0.00021489461263020834,127
19,0,0,True,9,19,0.00020995140075683594,128
26,1,1,True,10,25,0.0017460346221923827,129
18,0,0,True,7,18,0.00021129846572875977,130
30,1,1,True,8,29,0.0008838772773742676,131
21,1,1,True,6,10,6.016095479329427e-05,132
30,0,0,True,9,30,0.0009110450744628906,133
21,0,0,True,5,21,0.00041635831197102863,134
17,0,1,False,7,8,5.014737447102865e-05,135
29,0,0,True,7,29,0.0009317398071289062,136
17,1,1,True,8,16,0.00015884637832641602,137
20,0,0,True,9,20,0.0002471923828125,138
30,0,0,True,9,30,0.0008586883544921875,139
27,1,1,True,6,13,0.00010975201924641927,140
16,0,0,True,7,16,0.00019699335098266602,141
17,1,1,True,6,8,3.6716461181640625e-05,142
21,1,1,True,8,10,6.717443466186523e-05,143
24,0,0,True,9,24,0.0008486747741699219,144
17,0,0,True,7,17,0.00017446279525756836,145
22,1,1,True,6,11,9.72747802734375e-05,146
21,0,0,True,9,21,0.0002856731414794922,147
18,0,0,True,9,18,0.00027456283569335935,148
15,0,1,False,7,14,0.0001380443572998047,149
27,1,1,True,6,13,0.00011459986368815105,150
30,1,1,True,8,15,0.0001258254051208496,151
19,1,1,True,6,9,5.18957773844401e-05,152
27,1,1,True,8,26,0.0006501674652099609,153
15,1,1,True,8,14,0.0001577138900756836,154
16,0,0,True,7,16,0.00015658140182495117,155
15,0,0,True,7,15,0.00012695789337158203,156
15,0,1,False,7,14,0.00014193852742513022,157
22,1,0,False,10,22,0.000330352783203125,158
27,0,0,True,9,27,0.0009994029998779297,159
17,1,1,True,6,8,3.6875406901041664e-05,160
26,0,0,True,11,26,0.0012084245681762695,161
21,0,0,True,5,21,0.0004006226857503255,162
18,0,0,True,7,18,0.0003191828727722168,163
28,0,1,False,7,14,0.00014066696166992188,164
26,0,0,True,11,26,0.001018842061360677,165
29,1,1,True,8,14,0.00016075372695922852,166
27,1,1,True,12,26,0.0007509787877400717,167
21,0,0,True,5,21,0.00040070215861002606,168
25,1,1,True,6,12,9.258588155110677e-05,169
23,0,0,True,9,23,0.0005744457244873047,170
30,0,0,True,9,30,0.0014005661010742187,171
28,0,0,True,7,28,0.0008414387702941895,172
20,0,0,True,7,20,0.00030219554901123047,173
